,,position,points,wins,Constructor
2012,1,1,40,1,McLaren
2012,1,2,30,0,Red Bull
2012,1,3,12,0,Sauber
2012,1,4,10,0,Ferrari
2012,1,5,6,0,Lotus F1
2012,1,6,2,0,Toro Rosso
2012,1,7,1,0,Force India
2012,1,8,0,0,Mercedes
2012,1,9,0,0,Williams
2012,1,10,0,0,Marussia
2012,1,11,0,0,Caterham
2012,2,1,55,1,McLaren
2012,2,2,42,0,Red Bull
2012,2,3,35,1,Ferrari
2012,2,4,30,0,Sauber
2012,2,5,16,0,Lotus F1
2012,2,6,9,0,Force India
2012,2,7,8,0,Williams
2012,2,8,6,0,Toro Rosso
2012,2,9,1,0,Mercedes
2012,2,10,0,0,Marussia
2012,2,11,0,0,Caterham
2012,2,12,0,0,HRT
2012,3,1,88,1,McLaren
2012,3,2,64,0,Red Bull
2012,3,3,37,1,Ferrari
2012,3,4,31,0,Sauber
2012,3,5,26,1,Mercedes
2012,3,6,24,0,Lotus F1
2012,3,7,18,0,Williams
2012,3,8,9,0,Force India
2012,3,9,6,0,Toro Rosso
2012,3,10,0,0,Marussia
2012,3,11,0,0,Caterham
2012,3,12,0,0,HRT
2012,4,1,101,1,Red Bull
2012,4,2,92,1,McLaren
2012,4,3,57,0,Lotus F1
2012,4,4,45,1,Ferrari
2012,4,5,37,1,Mercedes
2012,4,6,31,0,Sauber
2012,4,7,18,0,Williams
2012,4,8,17,0,Force India
2012,4,9,6,0,Toro Rosso
2012,4,10,0,0,Marussia
2012,4,11,0,0,Caterham
2012,4,12,0,0,HRT
2012,5,1,109,1,Red Bull
2012,5,2,98,1,McLaren
2012,5,3,84,0,Lotus F1
2012,5,4,63,1,Ferrari
2012,5,5,43,1,Mercedes
2012,5,6,43,1,Williams
2012,5,7,41,0,Sauber
2012,5,8,18,0,Force India
2012,5,9,6,0,Toro Rosso
2012,5,10,0,0,Marussia
2012,5,11,0,0,Caterham
2012,5,12,0,0,HRT
2012,6,1,146,2,Red Bull
2012,6,2,108,1,McLaren
2012,6,3,86,1,Ferrari
2012,6,4,86,0,Lotus F1
2012,6,5,61,1,Mercedes
2012,6,6,44,1,Williams
2012,6,7,41,0,Sauber
2012,6,8,28,0,Force India
2012,6,9,6,0,Toro Rosso
2012,6,10,0,0,Caterham
2012,6,11,0,0,Marussia
2012,6,12,0,0,HRT
2012,7,1,164,2,Red Bull
2012,7,2,133,2,McLaren
2012,7,3,108,0,Lotus F1
2012,7,4,97,1,Ferrari
2012,7,5,69,1,Mercedes
2012,7,6,58,0,Sauber
2012,7,7,44,1,Williams
2012,7,8,28,0,Force India
2012,7,9,6,0,Toro Rosso
2012,7,10,0,0,Caterham
2012,7,11,0,0,Marussia
2012,7,12,0,0,HRT
2012,8,1,176,2,Red Bull
2012,8,2,137,2,McLaren
2012,8,3,126,0,Lotus F1
2012,8,4,122,2,Ferrari
2012,8,5,92,1,Mercedes
2012,8,6,60,0,Sauber
2012,8,7,45,1,Williams
2012,8,8,44,0,Force India
2012,8,9,6,0,Toro Rosso
2012,8,10,0,0,Caterham
2012,8,11,0,0,Marussia
2012,8,12,0,0,HRT
2012,9,1,216,3,Red Bull
2012,9,2,152,2,Ferrari
2012,9,3,144,0,Lotus F1
2012,9,4,142,2,McLaren
2012,9,5,98,1,Mercedes
2012,9,6,60,0,Sauber
2012,9,7,47,1,Williams
2012,9,8,44,0,Force India
2012,9,9,6,0,Toro Rosso
2012,9,10,0,0,Caterham
2012,9,11,0,0,Marussia
2012,9,12,0,0,HRT
2012,10,1,230,3,Red Bull
2012,10,2,177,3,Ferrari
2012,10,3,160,2,McLaren
2012,10,4,159,0,Lotus F1
2012,10,5,105,1,Mercedes
2012,10,6,80,0,Sauber
2012,10,7,47,1,Williams
2012,10,8,46,0,Force India
2012,10,9,6,0,Toro Rosso
2012,10,10,0,0,Caterham
2012,10,11,0,0,Marussia
2012,10,12,0,0,HRT
2012,11,1,246,3,Red Bull
2012,11,2,193,3,McLaren
2012,11,3,192,0,Lotus F1
2012,11,4,189,3,Ferrari
2012,11,5,106,1,Mercedes
2012,11,6,80,0,Sauber
2012,11,7,53,1,Williams
2012,11,8,46,0,Force India
2012,11,9,6,0,Toro Rosso
2012,11,10,0,0,Caterham
2012,11,11,0,0,Marussia
2012,11,12,0,0,HRT
2012,12,1,272,3,Red Bull
2012,12,2,218,4,McLaren
2012,12,3,207,0,Lotus F1
2012,12,4,199,3,Ferrari
2012,12,5,112,1,Mercedes
2012,12,6,80,0,Sauber
2012,12,7,59,0,Force India
2012,12,8,53,1,Williams
2012,12,9,12,0,Toro Rosso
2012,12,10,0,0,Caterham
2012,12,11,0,0,Marussia
2012,12,12,0,0,HRT
2012,13,1,272,3,Red Bull
2012,13,2,243,5,McLaren
2012,13,3,226,3,Ferrari
2012,13,4,217,0,Lotus F1
2012,13,5,126,1,Mercedes
2012,13,6,100,0,Sauber
2012,13,7,63,0,Force India
2012,13,8,54,1,Williams
2012,13,9,12,0,Toro Rosso
2012,13,10,0,0,Caterham
2012,13,11,0,0,Marussia
2012,13,12,0,0,HRT
2012,14,1,297,4,Red Bull
2012,14,2,261,5,McLaren
2012,14,3,245,3,Ferrari
2012,14,4,231,0,Lotus F1
2012,14,5,136,1,Mercedes
2012,14,6,101,0,Sauber
2012,14,7,75,0,Force India
2012,14,8,54,1,Williams
2012,14,9,14,0,Toro Rosso
2012,14,10,0,0,Marussia
2012,14,11,0,0,Caterham
2012,14,12,0,0,HRT
2012,15,1,324,5,Red Bull
2012,15,2,283,5,McLaren
2012,15,3,263,3,Ferrari
2012,15,4,239,0,Lotus F1
2012,15,5,136,1,Mercedes
2012,15,6,116,0,Sauber
2012,15,7,81,0,Force India
2012,15,8,58,1,Williams
2012,15,9,15,0,Toro Rosso
2012,15,10,0,0,Marussia
2012,15,11,0,0,Caterham
2012,15,12,0,0,HRT
2012,16,1,367,6,Red Bull
2012,16,2,290,3,Ferrari
2012,16,3,284,5,McLaren
2012,16,4,255,0,Lotus F1
2012,16,5,136,1,Mercedes
2012,16,6,116,0,Sauber
2012,16,7,89,0,Force India
2012,16,8,58,1,Williams
2012,16,9,21,0,Toro Rosso
2012,16,10,0,0,Marussia
2012,16,11,0,0,Caterham
2012,16,12,0,0,HRT
2012,17,1,407,7,Red Bull
2012,17,2,316,3,Ferrari
2012,17,3,306,5,McLaren
2012,17,4,263,0,Lotus F1
2012,17,5,136,1,Mercedes
2012,17,6,116,0,Sauber
2012,17,7,93,0,Force India
2012,17,8,59,1,Williams
2012,17,9,21,0,Toro Rosso
2012,17,10,0,0,Marussia
2012,17,11,0,0,Caterham
2012,17,12,0,0,HRT
2012,18,1,422,7,Red Bull
2012,18,2,340,3,Ferrari
2012,18,3,318,5,McLaren
2012,18,4,288,1,Lotus F1
2012,18,5,136,1,Mercedes
2012,18,6,124,0,Sauber
2012,18,7,95,0,Force India
2012,18,8,73,1,Williams
2012,18,9,22,0,Toro Rosso
2012,18,10,0,0,Marussia
2012,18,11,0,0,Caterham
2012,18,12,0,0,HRT
2012,19,1,440,7,Red Bull
2012,19,2,367,3,Ferrari
2012,19,3,353,6,McLaren
2012,19,4,302,1,Lotus F1
2012,19,5,136,1,Mercedes
2012,19,6,124,0,Sauber
2012,19,7,99,0,Force India
2012,19,8,76,1,Williams
2012,19,9,22,0,Toro Rosso
2012,19,10,0,0,Marussia
2012,19,11,0,0,Caterham
2012,19,12,0,0,HRT
2012,20,1,460,7,Red Bull
2012,20,2,400,3,Ferrari
2012,20,3,378,7,McLaren
2012,20,4,303,1,Lotus F1
2012,20,5,142,1,Mercedes
2012,20,6,126,0,Sauber
2012,20,7,109,0,Force India
2012,20,8,76,1,Williams
2012,20,9,26,0,Toro Rosso
2012,20,10,0,0,Caterham
2012,20,11,0,0,Marussia
2012,20,12,0,0,HRT
2013,1,1,30,0,Ferrari
2013,1,2,26,1,Lotus F1
2013,1,3,23,0,Red Bull
2013,1,4,10,0,Mercedes
2013,1,5,10,0,Force India
2013,1,6,2,0,McLaren
2013,1,7,0,0,Toro Rosso
2013,1,8,0,0,Sauber
2013,1,9,0,0,Williams
2013,1,10,0,0,Marussia
2013,1,11,0,0,Caterham
2013,2,1,66,1,Red Bull
2013,2,2,40,1,Lotus F1
2013,2,3,40,0,Ferrari
2013,2,4,37,0,Mercedes
2013,2,5,10,0,Force India
2013,2,6,4,0,Sauber
2013,2,7,4,0,McLaren
2013,2,8,1,0,Toro Rosso
2013,2,9,0,0,Williams
2013,2,10,0,0,Marussia
2013,2,11,0,0,Caterham
2013,3,1,78,1,Red Bull
2013,3,2,73,1,Ferrari
2013,3,3,60,1,Lotus F1
2013,3,4,52,0,Mercedes
2013,3,5,14,0,McLaren
2013,3,6,14,0,Force India
2013,3,7,7,0,Toro Rosso
2013,3,8,5,0,Sauber
2013,3,9,0,0,Williams
2013,3,10,0,0,Marussia
2013,3,11,0,0,Caterham
2013,4,1,109,2,Red Bull
2013,4,2,93,1,Lotus F1
2013,4,3,77,1,Ferrari
2013,4,4,64,0,Mercedes
2013,4,5,26,0,Force India
2013,4,6,23,0,McLaren
2013,4,7,7,0,Toro Rosso
2013,4,8,5,0,Sauber
2013,4,9,0,0,Williams
2013,4,10,0,0,Marussia
2013,4,11,0,0,Caterham
2013,5,1,131,2,Red Bull
2013,5,2,117,2,Ferrari
2013,5,3,111,1,Lotus F1
2013,5,4,72,0,Mercedes
2013,5,5,32,0,Force India
2013,5,6,29,0,McLaren
2013,5,7,8,0,Toro Rosso
2013,5,8,5,0,Sauber
2013,5,9,0,0,Williams
2013,5,10,0,0,Marussia
2013,5,11,0,0,Caterham
2013,6,1,164,2,Red Bull
2013,6,2,123,2,Ferrari
2013,6,3,112,1,Lotus F1
2013,6,4,109,1,Mercedes
2013,6,5,44,0,Force India
2013,6,6,37,0,McLaren
2013,6,7,12,0,Toro Rosso
2013,6,8,5,0,Sauber
2013,6,9,0,0,Williams
2013,6,10,0,0,Marussia
2013,6,11,0,0,Caterham
2013,7,1,201,3,Red Bull
2013,7,2,145,2,Ferrari
2013,7,3,134,1,Mercedes
2013,7,4,114,1,Lotus F1
2013,7,5,51,0,Force India
2013,7,6,37,0,McLaren
2013,7,7,20,0,Toro Rosso
2013,7,8,5,0,Sauber
2013,7,9,0,0,Williams
2013,7,10,0,0,Marussia
2013,7,11,0,0,Caterham
2013,8,1,219,3,Red Bull
2013,8,2,171,2,Mercedes
2013,8,3,168,2,Ferrari
2013,8,4,124,1,Lotus F1
2013,8,5,59,0,Force India
2013,8,6,37,0,McLaren
2013,8,7,24,0,Toro Rosso
2013,8,8,6,0,Sauber
2013,8,9,0,0,Williams
2013,8,10,0,0,Marussia
2013,8,11,0,0,Caterham
2013,9,1,250,4,Red Bull
2013,9,2,183,2,Mercedes
2013,9,3,180,2,Ferrari
2013,9,4,157,1,Lotus F1
2013,9,5,59,0,Force India
2013,9,6,49,0,McLaren
2013,9,7,24,0,Toro Rosso
2013,9,8,7,0,Sauber
2013,9,9,0,0,Williams
2013,9,10,0,0,Marussia
2013,9,11,0,0,Caterham
2013,10,1,277,4,Red Bull
2013,10,2,208,3,Mercedes
2013,10,3,194,2,Ferrari
2013,10,4,183,1,Lotus F1
2013,10,5,59,0,Force India
2013,10,6,57,0,McLaren
2013,10,7,24,0,Toro Rosso
2013,10,8,7,0,Sauber
2013,10,9,1,0,Williams
2013,10,10,0,0,Marussia
2013,10,11,0,0,Caterham
2013,11,1,312,5,Red Bull
2013,11,2,235,3,Mercedes
2013,11,3,218,2,Ferrari
2013,11,4,187,1,Lotus F1
2013,11,5,65,0,McLaren
2013,11,6,61,0,Force India
2013,11,7,25,0,Toro Rosso
2013,11,8,7,0,Sauber
2013,11,9,1,0,Williams
2013,11,10,0,0,Marussia
2013,11,11,0,0,Caterham
2013,12,1,352,6,Red Bull
2013,12,2,248,2,Ferrari
2013,12,3,245,3,Mercedes
2013,12,4,191,1,Lotus F1
2013,12,5,66,0,McLaren
2013,12,6,61,0,Force India
2013,12,7,31,0,Toro Rosso
2013,12,8,17,0,Sauber
2013,12,9,1,0,Williams
2013,12,10,0,0,Marussia
2013,12,11,0,0,Caterham
2013,13,1,377,7,Red Bull
2013,13,2,274,2,Ferrari
2013,13,3,267,3,Mercedes
2013,13,4,206,1,Lotus F1
2013,13,5,76,0,McLaren
2013,13,6,62,0,Force India
2013,13,7,31,0,Toro Rosso
2013,13,8,19,0,Sauber
2013,13,9,1,0,Williams
2013,13,10,0,0,Marussia
2013,13,11,0,0,Caterham
2013,14,1,402,8,Red Bull
2013,14,2,284,2,Ferrari
2013,14,3,283,3,Mercedes
2013,14,4,239,1,Lotus F1
2013,14,5,81,0,McLaren
2013,14,6,62,0,Force India
2013,14,7,31,0,Sauber
2013,14,8,31,0,Toro Rosso
2013,14,9,1,0,Williams
2013,14,10,0,0,Marussia
2013,14,11,0,0,Caterham
2013,15,1,445,9,Red Bull
2013,15,2,297,2,Ferrari
2013,15,3,287,3,Mercedes
2013,15,4,264,1,Lotus F1
2013,15,5,83,0,McLaren
2013,15,6,62,0,Force India
2013,15,7,45,0,Sauber
2013,15,8,31,0,Toro Rosso
2013,15,9,1,0,Williams
2013,15,10,0,0,Marussia
2013,15,11,0,0,Caterham
2013,16,1,470,10,Red Bull
2013,16,2,313,3,Mercedes
2013,16,3,309,2,Ferrari
2013,16,4,285,1,Lotus F1
2013,16,5,93,0,McLaren
2013,16,6,68,0,Force India
2013,16,7,45,0,Sauber
2013,16,8,32,0,Toro Rosso
2013,16,9,1,0,Williams
2013,16,10,0,0,Marussia
2013,16,11,0,0,Caterham
2013,17,1,513,11,Red Bull
2013,17,2,334,3,Mercedes
2013,17,3,323,2,Ferrari
2013,17,4,297,1,Lotus F1
2013,17,5,95,0,McLaren
2013,17,6,77,0,Force India
2013,17,7,45,0,Sauber
2013,17,8,32,0,Toro Rosso
2013,17,9,1,0,Williams
2013,17,10,0,0,Marussia
2013,17,11,0,0,Caterham
2013,18,1,553,12,Red Bull
2013,18,2,348,3,Mercedes
2013,18,3,333,2,Ferrari
2013,18,4,315,1,Lotus F1
2013,18,5,102,0,McLaren
2013,18,6,77,0,Force India
2013,18,7,53,0,Sauber
2013,18,8,32,0,Toro Rosso
2013,18,9,5,0,Williams
2013,18,10,0,0,Marussia
2013,18,11,0,0,Caterham
2013,19,1,596,13,Red Bull
2013,19,2,360,3,Mercedes
2013,19,3,354,2,Ferrari
2013,19,4,315,1,Lotus F1
2013,19,5,122,0,McLaren
2013,19,6,77,0,Force India
2013,19,7,57,0,Sauber
2013,19,8,33,0,Toro Rosso
2013,19,9,5,0,Williams
2013,19,10,0,0,Marussia
2013,19,11,0,0,Caterham
2014,1,1,33,0,McLaren
2014,1,2,25,1,Mercedes
2014,1,3,18,0,Ferrari
2014,1,4,10,0,Williams
2014,1,5,9,0,Force India
2014,1,6,6,0,Toro Rosso
2014,1,7,0,0,Sauber
2014,1,8,0,0,Marussia
2014,1,9,0,0,Lotus F1
2014,1,10,0,0,Caterham
2014,1,11,0,0,Red Bull
2014,2,1,68,2,Mercedes
2014,2,2,43,0,McLaren
2014,2,3,30,0,Ferrari
2014,2,4,20,0,Williams
2014,2,5,19,0,Force India
2014,2,6,15,0,Red Bull
2014,2,7,7,0,Toro Rosso
2014,2,8,0,0,Sauber
2014,2,9,0,0,Lotus F1
2014,2,10,0,0,Caterham
2014,2,11,0,0,Marussia
2014,3,1,111,3,Mercedes
2014,3,2,44,0,Force India
2014,3,3,43,0,McLaren
2014,3,4,35,0,Red Bull
2014,3,5,33,0,Ferrari
2014,3,6,30,0,Williams
2014,3,7,7,0,Toro Rosso
2014,3,8,0,0,Lotus F1
2014,3,9,0,0,Sauber
2014,3,10,0,0,Marussia
2014,3,11,0,0,Caterham
2014,4,1,154,4,Mercedes
2014,4,2,57,0,Red Bull
2014,4,3,54,0,Force India
2014,4,4,52,0,Ferrari
2014,4,5,43,0,McLaren
2014,4,6,36,0,Williams
2014,4,7,8,0,Toro Rosso
2014,4,8,0,0,Lotus F1
2014,4,9,0,0,Sauber
2014,4,10,0,0,Marussia
2014,4,11,0,0,Caterham
2014,5,1,197,5,Mercedes
2014,5,2,84,0,Red Bull
2014,5,3,66,0,Ferrari
2014,5,4,57,0,Force India
2014,5,5,46,0,Williams
2014,5,6,43,0,McLaren
2014,5,7,8,0,Toro Rosso
2014,5,8,4,0,Lotus F1
2014,5,9,0,0,Sauber
2014,5,10,0,0,Marussia
2014,5,11,0,0,Caterham
2014,6,1,240,6,Mercedes
2014,6,2,99,0,Red Bull
2014,6,3,78,0,Ferrari
2014,6,4,67,0,Force India
2014,6,5,52,0,McLaren
2014,6,6,52,0,Williams
2014,6,7,8,0,Lotus F1
2014,6,8,8,0,Toro Rosso
2014,6,9,2,0,Marussia
2014,6,10,0,0,Sauber
2014,6,11,0,0,Caterham
2014,7,1,258,6,Mercedes
2014,7,2,139,1,Red Bull
2014,7,3,87,0,Ferrari
2014,7,4,77,0,Force India
2014,7,5,66,0,McLaren
2014,7,6,58,0,Williams
2014,7,7,12,0,Toro Rosso
2014,7,8,8,0,Lotus F1
2014,7,9,2,0,Marussia
2014,7,10,0,0,Sauber
2014,7,11,0,0,Caterham
2014,8,1,301,7,Mercedes
2014,8,2,143,1,Red Bull
2014,8,3,98,0,Ferrari
2014,8,4,87,0,Force India
2014,8,5,85,0,Williams
2014,8,6,72,0,McLaren
2014,8,7,12,0,Toro Rosso
2014,8,8,8,0,Lotus F1
2014,8,9,2,0,Marussia
2014,8,10,0,0,Sauber
2014,8,11,0,0,Caterham
2014,9,1,326,8,Mercedes
2014,9,2,168,1,Red Bull
2014,9,3,106,0,Ferrari
2014,9,4,103,0,Williams
2014,9,5,91,0,Force India
2014,9,6,90,0,McLaren
2014,9,7,15,0,Toro Rosso
2014,9,8,8,0,Lotus F1
2014,9,9,2,0,Marussia
2014,9,10,0,0,Sauber
2014,9,11,0,0,Caterham
2014,10,1,366,9,Mercedes
2014,10,2,188,1,Red Bull
2014,10,3,121,0,Williams
2014,10,4,116,0,Ferrari
2014,10,5,98,0,Force India
2014,10,6,96,0,McLaren
2014,10,7,15,0,Toro Rosso
2014,10,8,8,0,Lotus F1
2014,10,9,2,0,Marussia
2014,10,10,0,0,Sauber
2014,10,11,0,0,Caterham
2014,11,1,393,9,Mercedes
2014,11,2,219,2,Red Bull
2014,11,3,142,0,Ferrari
2014,11,4,135,0,Williams
2014,11,5,98,0,Force India
2014,11,6,97,0,McLaren
2014,11,7,17,0,Toro Rosso
2014,11,8,8,0,Lotus F1
2014,11,9,2,0,Marussia
2014,11,10,0,0,Sauber
2014,11,11,0,0,Caterham
2014,12,1,411,9,Mercedes
2014,12,2,254,3,Red Bull
2014,12,3,160,0,Ferrari
2014,12,4,150,0,Williams
2014,12,5,105,0,McLaren
2014,12,6,103,0,Force India
2014,12,7,19,0,Toro Rosso
2014,12,8,8,0,Lotus F1
2014,12,9,2,0,Marussia
2014,12,10,0,0,Sauber
2014,12,11,0,0,Caterham
2014,13,1,454,10,Mercedes
2014,13,2,272,3,Red Bull
2014,13,3,177,0,Williams
2014,13,4,162,0,Ferrari
2014,13,5,110,0,McLaren
2014,13,6,109,0,Force India
2014,13,7,19,0,Toro Rosso
2014,13,8,8,0,Lotus F1
2014,13,9,2,0,Marussia
2014,13,10,0,0,Sauber
2014,13,11,0,0,Caterham
2014,14,1,479,11,Mercedes
2014,14,2,305,3,Red Bull
2014,14,3,187,0,Williams
2014,14,4,178,0,Ferrari
2014,14,5,117,0,Force India
2014,14,6,111,0,McLaren
2014,14,7,27,0,Toro Rosso
2014,14,8,8,0,Lotus F1
2014,14,9,2,0,Marussia
2014,14,10,0,0,Sauber
2014,14,11,0,0,Caterham
2014,15,1,522,12,Mercedes
2014,15,2,332,3,Red Bull
2014,15,3,201,0,Williams
2014,15,4,178,0,Ferrari
2014,15,5,122,0,Force India
2014,15,6,121,0,McLaren
2014,15,7,29,0,Toro Rosso
2014,15,8,8,0,Lotus F1
2014,15,9,2,0,Marussia
2014,15,10,0,0,Sauber
2014,15,11,0,0,Caterham
2014,16,1,565,13,Mercedes
2014,16,2,342,3,Red Bull
2014,16,3,216,0,Williams
2014,16,4,188,0,Ferrari
2014,16,5,143,0,McLaren
2014,16,6,123,0,Force India
2014,16,7,29,0,Toro Rosso
2014,16,8,8,0,Lotus F1
2014,16,9,2,0,Marussia
2014,16,10,0,0,Sauber
2014,16,11,0,0,Caterham
2014,17,1,608,14,Mercedes
2014,17,2,363,3,Red Bull
2014,17,3,238,0,Williams
2014,17,4,196,0,Ferrari
2014,17,5,147,0,McLaren
2014,17,6,123,0,Force India
2014,17,7,30,0,Toro Rosso
2014,17,8,10,0,Lotus F1
2014,17,9,2,0,Marussia
2014,17,10,0,0,Sauber
2014,17,11,0,0,Caterham
2014,18,1,651,15,Mercedes
2014,18,2,373,3,Red Bull
2014,18,3,254,0,Williams
2014,18,4,210,0,Ferrari
2014,18,5,161,0,McLaren
2014,18,6,127,0,Force India
2014,18,7,30,0,Toro Rosso
2014,18,8,10,0,Lotus F1
2014,18,9,2,0,Marussia
2014,18,10,0,0,Sauber
2014,18,11,0,0,Caterham
2014,19,1,701,16,Mercedes
2014,19,2,405,3,Red Bull
2014,19,3,320,0,Williams
2014,19,4,216,0,Ferrari
2014,19,5,181,0,McLaren
2014,19,6,155,0,Force India
2014,19,7,30,0,Toro Rosso
2014,19,8,10,0,Lotus F1
2014,19,9,2,0,Marussia
2014,19,10,0,0,Sauber
2014,19,11,0,0,Caterham
2015,1,1,43,1,Mercedes
2015,1,2,15,0,Ferrari
2015,1,3,14,0,Sauber
2015,1,4,12,0,Williams
2015,1,5,8,0,Red Bull
2015,1,6,7,0,Force India
2015,1,7,2,0,Toro Rosso
2015,1,8,0,0,McLaren
2015,1,9,0,0,Lotus F1
2015,2,1,76,1,Mercedes
2015,2,2,52,1,Ferrari
2015,2,3,30,0,Williams
2015,2,4,14,0,Sauber
2015,2,5,12,0,Toro Rosso
2015,2,6,11,0,Red Bull
2015,2,7,7,0,Force India
2015,2,8,0,0,Lotus F1
2015,2,9,0,0,McLaren
2015,2,10,0,0,Manor Marussia
2015,3,1,119,2,Mercedes
2015,3,2,79,1,Ferrari
2015,3,3,48,0,Williams
2015,3,4,19,0,Sauber
2015,3,5,13,0,Red Bull
2015,3,6,12,0,Toro Rosso
2015,3,7,7,0,Force India
2015,3,8,6,0,Lotus F1
2015,3,9,0,0,McLaren
2015,3,10,0,0,Manor Marussia
2015,4,1,159,3,Mercedes
2015,4,2,107,1,Ferrari
2015,4,3,61,0,Williams
2015,4,4,23,0,Red Bull
2015,4,5,19,0,Sauber
2015,4,6,12,0,Lotus F1
2015,4,7,12,0,Toro Rosso
2015,4,8,11,0,Force India
2015,4,9,0,0,McLaren
2015,4,10,0,0,Manor Marussia
2015,5,1,202,4,Mercedes
2015,5,2,132,1,Ferrari
2015,5,3,81,0,Williams
2015,5,4,30,0,Red Bull
2015,5,5,19,0,Sauber
2015,5,6,16,0,Lotus F1
2015,5,7,14,0,Toro Rosso
2015,5,8,11,0,Force India
2015,5,9,0,0,McLaren
2015,5,10,0,0,Manor Marussia
2015,6,1,242,5,Mercedes
2015,6,2,158,1,Ferrari
2015,6,3,81,0,Williams
2015,6,4,52,0,Red Bull
2015,6,5,21,0,Sauber
2015,6,6,17,0,Force India
2015,6,7,16,0,Lotus F1
2015,6,8,15,0,Toro Rosso
2015,6,9,4,0,McLaren
2015,6,10,0,0,Manor Marussia
2015,7,1,285,6,Mercedes
2015,7,2,180,1,Ferrari
2015,7,3,104,0,Williams
2015,7,4,54,0,Red Bull
2015,7,5,23,0,Lotus F1
2015,7,6,21,0,Sauber
2015,7,7,21,0,Force India
2015,7,8,15,0,Toro Rosso
2015,7,9,4,0,McLaren
2015,7,10,0,0,Manor Marussia
2015,8,1,328,7,Mercedes
2015,8,2,192,1,Ferrari
2015,8,3,129,0,Williams
2015,8,4,55,0,Red Bull
2015,8,5,31,0,Force India
2015,8,6,29,0,Lotus F1
2015,8,7,21,0,Sauber
2015,8,8,19,0,Toro Rosso
2015,8,9,4,0,McLaren
2015,8,10,0,0,Manor Marussia
2015,9,1,371,8,Mercedes
2015,9,2,211,1,Ferrari
2015,9,3,151,0,Williams
2015,9,4,63,0,Red Bull
2015,9,5,39,0,Force India
2015,9,6,29,0,Lotus F1
2015,9,7,21,0,Sauber
2015,9,8,19,0,Toro Rosso
2015,9,9,5,0,McLaren
2015,9,10,0,0,Manor Marussia
2015,10,1,383,8,Mercedes
2015,10,2,236,2,Ferrari
2015,10,3,151,0,Williams
2015,10,4,96,0,Red Bull
2015,10,5,39,0,Force India
2015,10,6,35,0,Lotus F1
2015,10,7,31,0,Toro Rosso
2015,10,8,22,0,Sauber
2015,10,9,17,0,McLaren
2015,10,10,0,0,Manor Marussia
2015,11,1,426,9,Mercedes
2015,11,2,242,2,Ferrari
2015,11,3,161,0,Williams
2015,11,4,108,0,Red Bull
2015,11,5,50,0,Lotus F1
2015,11,6,49,0,Force India
2015,11,7,35,0,Toro Rosso
2015,11,8,23,0,Sauber
2015,11,9,17,0,McLaren
2015,11,10,0,0,Manor Marussia
2015,12,1,451,10,Mercedes
2015,12,2,270,2,Ferrari
2015,12,3,188,0,Williams
2015,12,4,113,0,Red Bull
2015,12,5,63,0,Force India
2015,12,6,50,0,Lotus F1
2015,12,7,35,0,Toro Rosso
2015,12,8,25,0,Sauber
2015,12,9,17,0,McLaren
2015,12,10,0,0,Manor Marussia
2015,13,1,463,10,Mercedes
2015,13,2,310,3,Ferrari
2015,13,3,198,0,Williams
2015,13,4,139,0,Red Bull
2015,13,5,69,0,Force India
2015,13,6,50,0,Lotus F1
2015,13,7,41,0,Toro Rosso
2015,13,8,26,0,Sauber
2015,13,9,17,0,McLaren
2015,13,10,0,0,Manor Marussia
2015,14,1,506,11,Mercedes
2015,14,2,337,3,Ferrari
2015,14,3,208,0,Williams
2015,14,4,139,0,Red Bull
2015,14,5,77,0,Force India
