,,position,points,wins,Constructor
2015,14,6,60,0,Lotus F1
2015,14,7,44,0,Toro Rosso
2015,14,8,26,0,Sauber
2015,14,9,17,0,McLaren
2015,14,10,0,0,Manor Marussia
2015,15,1,531,12,Mercedes
2015,15,2,359,3,Ferrari
2015,15,3,220,0,Williams
2015,15,4,149,0,Red Bull
2015,15,5,92,0,Force India
2015,15,6,66,0,Lotus F1
2015,15,7,45,0,Toro Rosso
2015,15,8,34,0,Sauber
2015,15,9,19,0,McLaren
2015,15,10,0,0,Manor Marussia
2015,16,1,574,13,Mercedes
2015,16,2,374,3,Ferrari
2015,16,3,220,0,Williams
2015,16,4,150,0,Red Bull
2015,16,5,102,0,Force India
2015,16,6,70,0,Lotus F1
2015,16,7,63,0,Toro Rosso
2015,16,8,36,0,Sauber
2015,16,9,27,0,McLaren
2015,16,10,0,0,Manor Marussia
2015,17,1,617,14,Mercedes
2015,17,2,374,3,Ferrari
2015,17,3,243,0,Williams
2015,17,4,172,0,Red Bull
2015,17,5,112,0,Force India
2015,17,6,71,0,Lotus F1
2015,17,7,65,0,Toro Rosso
2015,17,8,36,0,Sauber
2015,17,9,27,0,McLaren
2015,17,10,0,0,Manor Marussia
2015,18,1,660,15,Mercedes
2015,18,2,401,3,Ferrari
2015,18,3,253,0,Williams
2015,18,4,178,0,Red Bull
2015,18,5,120,0,Force India
2015,18,6,76,0,Lotus F1
2015,18,7,67,0,Toro Rosso
2015,18,8,36,0,Sauber
2015,18,9,27,0,McLaren
2015,18,10,0,0,Manor Marussia
2015,19,1,703,16,Mercedes
2015,19,2,428,3,Ferrari
2015,19,3,257,0,Williams
2015,19,4,187,0,Red Bull
2015,19,5,136,0,Force India
2015,19,6,78,0,Lotus F1
2015,19,7,67,0,Toro Rosso
2015,19,8,36,0,Sauber
2015,19,9,27,0,McLaren
2015,19,10,0,0,Manor Marussia
2016,1,1,43,1,Mercedes
2016,1,2,15,0,Ferrari
2016,1,3,14,0,Williams
2016,1,4,12,0,Red Bull
2016,1,5,8,0,Haas F1 Team
2016,1,6,6,0,Force India
2016,1,7,3,0,Toro Rosso
2016,1,8,0,0,Renault
2016,1,9,0,0,McLaren
2016,1,10,0,0,Sauber
2016,1,11,0,0,Manor Marussia
2016,2,1,83,2,Mercedes
2016,2,2,33,0,Ferrari
2016,2,3,30,0,Red Bull
2016,2,4,20,0,Williams
2016,2,5,18,0,Haas F1 Team
2016,2,6,11,0,Toro Rosso
2016,2,7,6,0,Force India
2016,2,8,1,0,McLaren
2016,2,9,0,0,Renault
2016,2,10,0,0,Sauber
2016,2,11,0,0,Manor Marussia
2016,3,1,114,3,Mercedes
2016,3,2,61,0,Ferrari
2016,3,3,57,0,Red Bull
2016,3,4,29,0,Williams
2016,3,5,18,0,Haas F1 Team
2016,3,6,17,0,Toro Rosso
2016,3,7,6,0,Force India
2016,3,8,1,0,McLaren
2016,3,9,0,0,Renault
2016,3,10,0,0,Sauber
2016,3,11,0,0,Manor Marussia
2016,4,1,157,4,Mercedes
2016,4,2,76,0,Ferrari
2016,4,3,57,0,Red Bull
2016,4,4,51,0,Williams
2016,4,5,22,0,Haas F1 Team
2016,4,6,17,0,Toro Rosso
2016,4,7,10,0,McLaren
2016,4,8,8,0,Force India
2016,4,9,6,0,Renault
2016,4,10,0,0,Sauber
2016,4,11,0,0,Manor Marussia
2016,5,1,157,4,Mercedes
2016,5,2,109,0,Ferrari
2016,5,3,94,1,Red Bull
2016,5,4,65,0,Williams
2016,5,5,26,0,Toro Rosso
2016,5,6,22,0,Haas F1 Team
2016,5,7,14,0,Force India
2016,5,8,12,0,McLaren
2016,5,9,6,0,Renault
2016,5,10,0,0,Sauber
2016,5,11,0,0,Manor Marussia
2016,6,1,188,5,Mercedes
2016,6,2,121,0,Ferrari
2016,6,3,112,1,Red Bull
2016,6,4,66,0,Williams
2016,6,5,37,0,Force India
2016,6,6,30,0,Toro Rosso
2016,6,7,24,0,McLaren
2016,6,8,22,0,Haas F1 Team
2016,6,9,6,0,Renault
2016,6,10,0,0,Sauber
2016,6,11,0,0,Manor Marussia
2016,7,1,223,6,Mercedes
2016,7,2,147,0,Ferrari
2016,7,3,130,1,Red Bull
2016,7,4,81,0,Williams
2016,7,5,42,0,Force India
2016,7,6,32,0,Toro Rosso
2016,7,7,24,0,McLaren
2016,7,8,22,0,Haas F1 Team
2016,7,9,6,0,Renault
2016,7,10,0,0,Sauber
2016,7,11,0,0,Manor Marussia
2016,8,1,258,7,Mercedes
2016,8,2,177,0,Ferrari
2016,8,3,140,1,Red Bull
2016,8,4,90,0,Williams
2016,8,5,59,0,Force India
2016,8,6,32,0,Toro Rosso
2016,8,7,24,0,McLaren
2016,8,8,22,0,Haas F1 Team
2016,8,9,6,0,Renault
2016,8,10,0,0,Sauber
2016,8,11,0,0,Manor Marussia
2016,9,1,295,8,Mercedes
2016,9,2,192,0,Ferrari
2016,9,3,168,1,Red Bull
2016,9,4,92,0,Williams
2016,9,5,59,0,Force India
2016,9,6,36,0,Toro Rosso
2016,9,7,32,0,McLaren
2016,9,8,28,0,Haas F1 Team
2016,9,9,6,0,Renault
2016,9,10,1,0,Manor Marussia
2016,9,11,0,0,Sauber
2016,10,1,335,9,Mercedes
2016,10,2,204,0,Ferrari
2016,10,3,198,1,Red Bull
2016,10,4,92,0,Williams
2016,10,5,73,0,Force India
2016,10,6,41,0,Toro Rosso
2016,10,7,32,0,McLaren
2016,10,8,28,0,Haas F1 Team
2016,10,9,6,0,Renault
2016,10,10,1,0,Manor Marussia
2016,10,11,0,0,Sauber
2016,11,1,378,10,Mercedes
2016,11,2,224,0,Ferrari
2016,11,3,223,1,Red Bull
2016,11,4,94,0,Williams
2016,11,5,74,0,Force India
2016,11,6,45,0,Toro Rosso
2016,11,7,38,0,McLaren
2016,11,8,28,0,Haas F1 Team
2016,11,9,6,0,Renault
2016,11,10,1,0,Manor Marussia
2016,11,11,0,0,Sauber
2016,12,1,415,11,Mercedes
2016,12,2,256,1,Red Bull
2016,12,3,242,0,Ferrari
2016,12,4,96,0,Williams
2016,12,5,81,0,Force India
2016,12,6,45,0,Toro Rosso
2016,12,7,42,0,McLaren
2016,12,8,28,0,Haas F1 Team
2016,12,9,6,0,Renault
2016,12,10,1,0,Manor Marussia
2016,12,11,0,0,Sauber
2016,13,1,455,12,Mercedes
2016,13,2,274,1,Red Bull
2016,13,3,252,0,Ferrari
2016,13,4,103,0,Force India
2016,13,5,101,0,Williams
2016,13,6,48,0,McLaren
2016,13,7,45,0,Toro Rosso
2016,13,8,28,0,Haas F1 Team
2016,13,9,6,0,Renault
2016,13,10,1,0,Manor Marussia
2016,13,11,0,0,Sauber
2016,14,1,498,13,Mercedes
2016,14,2,290,1,Red Bull
2016,14,3,279,0,Ferrari
2016,14,4,111,0,Williams
2016,14,5,108,0,Force India
2016,14,6,48,0,McLaren
2016,14,7,45,0,Toro Rosso
2016,14,8,28,0,Haas F1 Team
2016,14,9,6,0,Renault
2016,14,10,1,0,Manor Marussia
2016,14,11,0,0,Sauber
2016,15,1,538,14,Mercedes
2016,15,2,316,1,Red Bull
2016,15,3,301,0,Ferrari
2016,15,4,112,0,Force India
2016,15,5,111,0,Williams
2016,15,6,54,0,McLaren
2016,15,7,47,0,Toro Rosso
2016,15,8,28,0,Haas F1 Team
2016,15,9,7,0,Renault
2016,15,10,1,0,Manor Marussia
2016,15,11,0,0,Sauber
2016,16,1,553,14,Mercedes
2016,16,2,359,2,Red Bull
2016,16,3,313,0,Ferrari
2016,16,4,124,0,Force India
2016,16,5,121,0,Williams
2016,16,6,62,0,McLaren
2016,16,7,47,0,Toro Rosso
2016,16,8,28,0,Haas F1 Team
2016,16,9,8,0,Renault
2016,16,10,1,0,Manor Marussia
2016,16,11,0,0,Sauber
2016,17,1,593,15,Mercedes
2016,17,2,385,2,Red Bull
2016,17,3,335,0,Ferrari
2016,17,4,134,0,Force India
2016,17,5,124,0,Williams
2016,17,6,62,0,McLaren
2016,17,7,47,0,Toro Rosso
2016,17,8,28,0,Haas F1 Team
2016,17,9,8,0,Renault
2016,17,10,1,0,Manor Marussia
2016,17,11,0,0,Sauber
2016,18,1,636,16,Mercedes
2016,18,2,400,2,Red Bull
2016,18,3,347,0,Ferrari
2016,18,4,138,0,Force India
2016,18,5,130,0,Williams
2016,18,6,74,0,McLaren
2016,18,7,55,0,Toro Rosso
2016,18,8,29,0,Haas F1 Team
2016,18,9,8,0,Renault
2016,18,10,1,0,Manor Marussia
2016,18,11,0,0,Sauber
2016,19,1,679,17,Mercedes
2016,19,2,427,2,Red Bull
2016,19,3,365,0,Ferrari
2016,19,4,145,0,Force India
2016,19,5,136,0,Williams
2016,19,6,74,0,McLaren
2016,19,7,55,0,Toro Rosso
2016,19,8,29,0,Haas F1 Team
2016,19,9,8,0,Renault
2016,19,10,1,0,Manor Marussia
2016,19,11,0,0,Sauber
2016,20,1,722,18,Mercedes
2016,20,2,446,2,Red Bull
2016,20,3,375,0,Ferrari
2016,20,4,163,0,Force India
2016,20,5,136,0,Williams
2016,20,6,75,0,McLaren
2016,20,7,63,0,Toro Rosso
2016,20,8,29,0,Haas F1 Team
2016,20,9,8,0,Renault
2016,20,10,2,0,Sauber
2016,20,11,1,0,Manor Marussia
2016,21,1,765,19,Mercedes
2016,21,2,468,2,Red Bull
2016,21,3,398,0,Ferrari
2016,21,4,173,0,Force India
2016,21,5,138,0,Williams
2016,21,6,76,0,McLaren
2016,21,7,63,0,Toro Rosso
2016,21,8,29,0,Haas F1 Team
2016,21,9,8,0,Renault
2016,21,10,2,0,Sauber
2016,21,11,1,0,Manor Marussia
2017,1,1,37,1,Ferrari
2017,1,2,33,0,Mercedes
2017,1,3,10,0,Red Bull
2017,1,4,8,0,Williams
2017,1,5,7,0,Force India
2017,1,6,6,0,Toro Rosso
2017,1,7,0,0,Renault
2017,1,8,0,0,Sauber
2017,1,9,0,0,McLaren
2017,1,10,0,0,Haas F1 Team
2017,2,1,66,1,Mercedes
2017,2,2,65,1,Ferrari
2017,2,3,37,0,Red Bull
2017,2,4,12,0,Toro Rosso
2017,2,5,10,0,Force India
2017,2,6,8,0,Williams
2017,2,7,4,0,Haas F1 Team
2017,2,8,0,0,Renault
2017,2,9,0,0,Sauber
2017,2,10,0,0,McLaren
2017,3,1,102,2,Ferrari
2017,3,2,99,1,Mercedes
2017,3,3,47,0,Red Bull
2017,3,4,17,0,Force India
2017,3,5,16,0,Williams
2017,3,6,12,0,Toro Rosso
2017,3,7,8,0,Haas F1 Team
2017,3,8,2,0,Renault
2017,3,9,0,0,Sauber
2017,3,10,0,0,McLaren
2017,4,1,136,2,Mercedes
2017,4,2,135,2,Ferrari
2017,4,3,57,0,Red Bull
2017,4,4,31,0,Force India
2017,4,5,18,0,Williams
2017,4,6,13,0,Toro Rosso
2017,4,7,8,0,Haas F1 Team
2017,4,8,6,0,Renault
2017,4,9,0,0,Sauber
2017,4,10,0,0,McLaren
2017,5,1,161,3,Mercedes
2017,5,2,153,2,Ferrari
2017,5,3,72,0,Red Bull
2017,5,4,53,0,Force India
2017,5,5,21,0,Toro Rosso
2017,5,6,18,0,Williams
2017,5,7,14,0,Renault
2017,5,8,9,0,Haas F1 Team
2017,5,9,4,0,Sauber
2017,5,10,0,0,McLaren
2017,6,1,196,3,Ferrari
2017,6,2,179,3,Mercedes
2017,6,3,97,0,Red Bull
2017,6,4,53,0,Force India
2017,6,5,29,0,Toro Rosso
2017,6,6,20,0,Williams
2017,6,7,14,0,Renault
2017,6,8,14,0,Haas F1 Team
2017,6,9,4,0,Sauber
2017,6,10,0,0,McLaren
2017,7,1,222,4,Mercedes
2017,7,2,214,3,Ferrari
2017,7,3,112,0,Red Bull
2017,7,4,71,0,Force India
2017,7,5,29,0,Toro Rosso
2017,7,6,22,0,Williams
2017,7,7,18,0,Renault
2017,7,8,15,0,Haas F1 Team
2017,7,9,4,0,Sauber
2017,7,10,0,0,McLaren
2017,8,1,250,4,Mercedes
2017,8,2,226,3,Ferrari
2017,8,3,137,1,Red Bull
2017,8,4,79,0,Force India
2017,8,5,37,0,Williams
2017,8,6,33,0,Toro Rosso
2017,8,7,21,0,Haas F1 Team
2017,8,8,18,0,Renault
2017,8,9,5,0,Sauber
2017,8,10,2,0,McLaren
2017,9,1,287,5,Mercedes
2017,9,2,254,3,Ferrari
2017,9,3,152,1,Red Bull
2017,9,4,89,0,Force India
2017,9,5,40,0,Williams
2017,9,6,33,0,Toro Rosso
2017,9,7,29,0,Haas F1 Team
2017,9,8,18,0,Renault
2017,9,9,5,0,Sauber
2017,9,10,2,0,McLaren
2017,10,1,330,6,Mercedes
2017,10,2,275,3,Ferrari
2017,10,3,174,1,Red Bull
2017,10,4,95,0,Force India
2017,10,5,41,0,Williams
2017,10,6,33,0,Toro Rosso
2017,10,7,29,0,Haas F1 Team
2017,10,8,26,0,Renault
2017,10,9,5,0,Sauber
2017,10,10,2,0,McLaren
2017,11,1,357,6,Mercedes
2017,11,2,318,4,Ferrari
2017,11,3,184,1,Red Bull
2017,11,4,101,0,Force India
2017,11,5,41,0,Williams
2017,11,6,39,0,Toro Rosso
2017,11,7,29,0,Haas F1 Team
2017,11,8,26,0,Renault
2017,11,9,11,0,McLaren
2017,11,10,5,0,Sauber
2017,12,1,392,7,Mercedes
2017,12,2,348,4,Ferrari
2017,12,3,199,1,Red Bull
2017,12,4,103,0,Force India
2017,12,5,45,0,Williams
2017,12,6,40,0,Toro Rosso
2017,12,7,35,0,Haas F1 Team
2017,12,8,34,0,Renault
2017,12,9,11,0,McLaren
2017,12,10,5,0,Sauber
2017,13,1,435,8,Mercedes
2017,13,2,373,4,Ferrari
2017,13,3,212,1,Red Bull
2017,13,4,113,0,Force India
2017,13,5,55,0,Williams
2017,13,6,40,0,Toro Rosso
2017,13,7,35,0,Haas F1 Team
2017,13,8,34,0,Renault
2017,13,9,11,0,McLaren
2017,13,10,5,0,Sauber
2017,14,1,475,9,Mercedes
2017,14,2,373,4,Ferrari
2017,14,3,230,1,Red Bull
2017,14,4,124,0,Force India
2017,14,5,59,0,Williams
2017,14,6,52,0,Toro Rosso
2017,14,7,42,0,Renault
2017,14,8,37,0,Haas F1 Team
2017,14,9,17,0,McLaren
2017,14,10,5,0,Sauber
2017,15,1,503,9,Mercedes
2017,15,2,385,4,Ferrari
2017,15,3,270,2,Red Bull
2017,15,4,133,0,Force India
2017,15,5,65,0,Williams
2017,15,6,52,0,Toro Rosso
2017,15,7,42,0,Renault
2017,15,8,37,0,Haas F1 Team
2017,15,9,23,0,McLaren
2017,15,10,5,0,Sauber
2017,16,1,540,10,Mercedes
2017,16,2,395,4,Ferrari
2017,16,3,303,2,Red Bull
2017,16,4,147,0,Force India
2017,16,5,66,0,Williams
2017,16,6,52,0,Toro Rosso
2017,16,7,43,0,Haas F1 Team
2017,16,8,42,0,Renault
2017,16,9,23,0,McLaren
2017,16,10,5,0,Sauber
2017,17,1,575,11,Mercedes
2017,17,2,428,4,Ferrari
2017,17,3,315,2,Red Bull
2017,17,4,159,0,Force India
2017,17,5,68,0,Williams
2017,17,6,53,0,Toro Rosso
2017,17,7,48,0,Renault
2017,17,8,43,0,Haas F1 Team
2017,17,9,23,0,McLaren
2017,17,10,5,0,Sauber
2017,18,1,595,11,Mercedes
2017,18,2,455,4,Ferrari
2017,18,3,340,3,Red Bull
2017,18,4,175,0,Force India
2017,18,5,76,0,Williams
2017,18,6,53,0,Toro Rosso
2017,18,7,48,0,Renault
2017,18,8,47,0,Haas F1 Team
2017,18,9,24,0,McLaren
2017,18,10,5,0,Sauber
2017,19,1,625,11,Mercedes
2017,19,2,495,5,Ferrari
2017,19,3,358,3,Red Bull
2017,19,4,177,0,Force India
2017,19,5,82,0,Williams
2017,19,6,53,0,Toro Rosso
2017,19,7,49,0,Renault
2017,19,8,47,0,Haas F1 Team
2017,19,9,28,0,McLaren
2017,19,10,5,0,Sauber
2017,20,1,668,12,Mercedes
2017,20,2,522,5,Ferrari
2017,20,3,368,3,Red Bull
2017,20,4,187,0,Force India
2017,20,5,83,0,Williams
2017,20,6,57,0,Renault
2017,20,7,53,0,Toro Rosso
2017,20,8,47,0,Haas F1 Team
2017,20,9,30,0,McLaren
2017,20,10,5,0,Sauber
2018,1,1,40,1,Ferrari
2018,1,2,22,0,Mercedes
2018,1,3,20,0,Red Bull
2018,1,4,12,0,McLaren
2018,1,5,7,0,Renault
2018,1,6,0,0,Force India
2018,1,7,0,0,Sauber
2018,1,8,0,0,Williams
2018,1,9,0,0,Toro Rosso
2018,1,10,0,0,Haas F1 Team
2018,2,1,65,2,Ferrari
2018,2,2,55,0,Mercedes
2018,2,3,22,0,McLaren
2018,2,4,20,0,Red Bull
2018,2,5,15,0,Renault
2018,2,6,12,0,Toro Rosso
2018,2,7,10,0,Haas F1 Team
2018,2,8,2,0,Sauber
2018,2,9,1,0,Force India
2018,2,10,0,0,Williams
2018,3,1,85,0,Mercedes
2018,3,2,84,2,Ferrari
2018,3,3,55,1,Red Bull
2018,3,4,28,0,McLaren
2018,3,5,25,0,Renault
2018,3,6,12,0,Toro Rosso
2018,3,7,11,0,Haas F1 Team
2018,3,8,2,0,Sauber
2018,3,9,1,0,Force India
2018,3,10,0,0,Williams
2018,4,1,114,2,Ferrari
2018,4,2,110,1,Mercedes
2018,4,3,55,1,Red Bull
2018,4,4,36,0,McLaren
2018,4,5,35,0,Renault
2018,4,6,16,0,Force India
2018,4,7,13,0,Toro Rosso
2018,4,8,11,0,Haas F1 Team
2018,4,9,10,0,Sauber
2018,4,10,4,0,Williams
2018,5,1,153,2,Mercedes
2018,5,2,126,2,Ferrari
2018,5,3,80,1,Red Bull
2018,5,4,41,0,Renault
2018,5,5,40,0,McLaren
2018,5,6,19,0,Haas F1 Team
2018,5,7,18,0,Force India
2018,5,8,13,0,Toro Rosso
2018,5,9,11,0,Sauber
2018,5,10,4,0,Williams
2018,6,1,178,2,Mercedes
2018,6,2,156,2,Ferrari
2018,6,3,107,2,Red Bull
2018,6,4,46,0,Renault
2018,6,5,40,0,McLaren
2018,6,6,26,0,Force India
2018,6,7,19,0,Toro Rosso
2018,6,8,19,0,Haas F1 Team
2018,6,9,11,0,Sauber
2018,6,10,4,0,Williams
2018,7,1,206,2,Mercedes
2018,7,2,189,3,Ferrari
2018,7,3,134,2,Red Bull
2018,7,4,56,0,Renault
2018,7,5,40,0,McLaren
2018,7,6,28,0,Force India
2018,7,7,19,0,Toro Rosso
2018,7,8,19,0,Haas F1 Team
2018,7,9,12,0,Sauber
2018,7,10,4,0,Williams
2018,8,1,237,3,Mercedes
2018,8,2,214,3,Ferrari
2018,8,3,164,2,Red Bull
2018,8,4,62,0,Renault
2018,8,5,40,0,McLaren
2018,8,6,28,0,Force India
2018,8,7,27,0,Haas F1 Team
2018,8,8,19,0,Toro Rosso
2018,8,9,13,0,Sauber
2018,8,10,4,0,Williams
2018,9,1,247,3,Ferrari
2018,9,2,237,3,Mercedes
2018,9,3,189,3,Red Bull
2018,9,4,62,0,Renault
2018,9,5,49,0,Haas F1 Team
2018,9,6,44,0,McLaren
2018,9,7,42,0,Force India
2018,9,8,19,0,Toro Rosso
2018,9,9,16,0,Sauber
2018,9,10,4,0,Williams
2018,10,1,287,4,Ferrari
2018,10,2,267,3,Mercedes
2018,10,3,199,3,Red Bull
2018,10,4,70,0,Renault
2018,10,5,51,0,Haas F1 Team
2018,10,6,49,0,Force India
2018,10,7,48,0,McLaren
2018,10,8,19,0,Toro Rosso
2018,10,9,16,0,Sauber
2018,10,10,4,0,Williams
2018,11,1,310,4,Mercedes
2018,11,2,302,4,Ferrari
2018,11,3,211,3,Red Bull
2018,11,4,80,0,Renault
2018,11,5,59,0,Force India
2018,11,6,59,0,Haas F1 Team
2018,11,7,48,0,McLaren
2018,11,8,20,0,Toro Rosso
2018,11,9,18,0,Sauber
2018,11,10,4,0,Williams
2018,12,1,345,5,Mercedes
2018,12,2,335,4,Ferrari
2018,12,3,223,3,Red Bull
2018,12,4,82,0,Renault
2018,12,5,66,0,Haas F1 Team
2018,12,6,59,0,Force India
2018,12,7,52,0,McLaren
2018,12,8,28,0,Toro Rosso
2018,12,9,18,0,Sauber
2018,12,10,4,0,Williams
2018,13,1,375,5,Mercedes
2018,13,2,360,5,Ferrari
2018,13,3,238,3,Red Bull
2018,13,4,82,0,Renault
2018,13,5,76,0,Haas F1 Team
2018,13,6,52,0,McLaren
2018,13,7,30,0,Toro Rosso
2018,13,8,19,0,Sauber
2018,13,9,18,0,Force India
2018,13,10,4,0,Williams
2018,14,1,415,6,Mercedes
2018,14,2,390,5,Ferrari
2018,14,3,248,3,Red Bull
2018,14,4,86,0,Renault
2018,14,5,76,0,Haas F1 Team
2018,14,6,52,0,McLaren
2018,14,7,32,0,Force India
2018,14,8,30,0,Toro Rosso
2018,14,9,19,0,Sauber
2018,14,10,7,0,Williams
2018,15,1,452,7,Mercedes
2018,15,2,415,5,Ferrari
2018,15,3,274,3,Red Bull
2018,15,4,91,0,Renault
2018,15,5,76,0,Haas F1 Team
2018,15,6,58,0,McLaren
2018,15,7,32,0,Force India
2018,15,8,30,0,Toro Rosso
2018,15,9,21,0,Sauber
2018,15,10,7,0,Williams
2018,16,1,495,8,Mercedes
2018,16,2,442,5,Ferrari
2018,16,3,292,3,Red Bull
2018,16,4,91,0,Renault
2018,16,5,80,0,Haas F1 Team
2018,16,6,58,0,McLaren
2018,16,7,35,0,Force India
2018,16,8,30,0,Toro Rosso
2018,16,9,27,0,Sauber
2018,16,10,7,0,Williams
2018,17,1,538,9,Mercedes
2018,17,2,460,5,Ferrari
2018,17,3,319,3,Red Bull
2018,17,4,92,0,Renault
2018,17,5,84,0,Haas F1 Team
2018,17,6,58,0,McLaren
2018,17,7,43,0,Force India
2018,17,8,30,0,Toro Rosso
2018,17,9,27,0,Sauber
2018,17,10,7,0,Williams
2018,18,1,563,9,Mercedes
2018,18,2,497,6,Ferrari
2018,18,3,337,3,Red Bull
2018,18,4,106,0,Renault
2018,18,5,84,0,Haas F1 Team
2018,18,6,58,0,McLaren
2018,18,7,47,0,Force India
2018,18,8,32,0,Toro Rosso
2018,18,9,28,0,Sauber
2018,18,10,7,0,Williams
2018,19,1,585,9,Mercedes
2018,19,2,530,6,Ferrari
2018,19,3,362,4,Red Bull
2018,19,4,114,0,Renault
2018,19,5,84,0,Haas F1 Team
2018,19,6,62,0,McLaren
2018,19,7,47,0,Force India
2018,19,8,36,0,Sauber
2018,19,9,33,0,Toro Rosso
2018,19,10,7,0,Williams
2018,20,1,620,10,Mercedes
2018,20,2,553,6,Ferrari
2018,20,3,392,4,Red Bull
2018,20,4,114,0,Renault
2018,20,5,90,0,Haas F1 Team
2018,20,6,62,0,McLaren
2018,20,7,48,0,Force India
2018,20,8,42,0,Sauber
2018,20,9,33,0,Toro Rosso
2018,20,10,7,0,Williams
2018,21,1,655,11,Mercedes
2018,21,2,571,6,Ferrari
2018,21,3,419,4,Red Bull
2018,21,4,122,0,Renault
2018,21,5,93,0,Haas F1 Team
2018,21,6,62,0,McLaren
2018,21,7,52,0,Force India
2018,21,8,48,0,Sauber
2018,21,9,33,0,Toro Rosso
2018,21,10,7,0,Williams
2019,1,1,44,1,Mercedes
2019,1,2,22,0,Ferrari
2019,1,3,15,0,Red Bull
2019,1,4,8,0,Haas F1 Team
2019,1,5,6,0,Renault
2019,1,6,4,0,Alfa Romeo
2019,1,7,2,0,Racing Point
2019,1,8,1,0,Toro Rosso
2019,1,9,0,0,McLaren
2019,1,10,0,0,Williams
2019,2,1,87,2,Mercedes
2019,2,2,48,0,Ferrari
2019,2,3,31,0,Red Bull
2019,2,4,10,0,Alfa Romeo
2019,2,5,8,0,McLaren
2019,2,6,8,0,Haas F1 Team
2019,2,7,6,0,Renault
2019,2,8,3,0,Toro Rosso
2019,2,9,3,0,Racing Point
2019,2,10,0,0,Williams
2019,3,1,130,3,Mercedes
2019,3,2,73,0,Ferrari
2019,3,3,52,0,Red Bull
2019,3,4,12,0,Renault
2019,3,5,12,0,Alfa Romeo
2019,3,6,8,0,Haas F1 Team
2019,3,7,8,0,McLaren
2019,3,8,7,0,Racing Point
2019,3,9,4,0,Toro Rosso
2019,3,10,0,0,Williams
2019,4,1,173,4,Mercedes
2019,4,2,99,0,Ferrari
2019,4,3,64,0,Red Bull
2019,4,4,18,0,McLaren
2019,4,5,17,0,Racing Point
2019,4,6,13,0,Alfa Romeo
2019,4,7,12,0,Renault
2019,4,8,8,0,Haas F1 Team
2019,4,9,4,0,Toro Rosso
2019,4,10,0,0,Williams
2019,5,1,217,5,Mercedes
2019,5,2,121,0,Ferrari
2019,5,3,87,0,Red Bull
2019,5,4,22,0,McLaren
2019,5,5,17,0,Racing Point
2019,5,6,15,0,Haas F1 Team
2019,5,7,13,0,Alfa Romeo
2019,5,8,12,0,Renault
2019,5,9,6,0,Toro Rosso
2019,5,10,0,0,Williams
2019,6,1,257,6,Mercedes
2019,6,2,139,0,Ferrari
2019,6,3,110,0,Red Bull
2019,6,4,30,0,McLaren
2019,6,5,17,0,Racing Point
2019,6,6,16,0,Haas F1 Team
2019,6,7,16,0,Toro Rosso
2019,6,8,14,0,Renault
2019,6,9,13,0,Alfa Romeo
2019,6,10,0,0,Williams
2019,7,1,295,7,Mercedes
2019,7,2,172,0,Ferrari
2019,7,3,124,0,Red Bull
2019,7,4,30,0,McLaren
2019,7,5,28,0,Renault
2019,7,6,19,0,Racing Point
2019,7,7,17,0,Toro Rosso
2019,7,8,16,0,Haas F1 Team
2019,7,9,13,0,Alfa Romeo
2019,7,10,0,0,Williams
2019,8,1,338,8,Mercedes
2019,8,2,198,0,Ferrari
2019,8,3,137,0,Red Bull
2019,8,4,40,0,McLaren
2019,8,5,32,0,Renault
2019,8,6,19,0,Racing Point
