,,position,points,wins,Constructor
2019,8,7,19,0,Alfa Romeo
2019,8,8,17,0,Toro Rosso
2019,8,9,16,0,Haas F1 Team
2019,8,10,0,0,Williams
2019,9,1,363,8,Mercedes
2019,9,2,228,0,Ferrari
2019,9,3,169,1,Red Bull
2019,9,4,52,0,McLaren
2019,9,5,32,0,Renault
2019,9,6,22,0,Alfa Romeo
2019,9,7,19,0,Racing Point
2019,9,8,17,0,Toro Rosso
2019,9,9,16,0,Haas F1 Team
2019,9,10,0,0,Williams
2019,10,1,407,9,Mercedes
2019,10,2,243,0,Ferrari
2019,10,3,191,1,Red Bull
2019,10,4,60,0,McLaren
2019,10,5,39,0,Renault
2019,10,6,26,0,Alfa Romeo
2019,10,7,19,0,Racing Point
2019,10,8,19,0,Toro Rosso
2019,10,9,16,0,Haas F1 Team
2019,10,10,0,0,Williams
2019,11,1,409,9,Mercedes
2019,11,2,261,0,Ferrari
2019,11,3,217,2,Red Bull
2019,11,4,70,0,McLaren
2019,11,5,42,0,Toro Rosso
2019,11,6,39,0,Renault
2019,11,7,31,0,Racing Point
2019,11,8,26,0,Haas F1 Team
2019,11,9,26,0,Alfa Romeo
2019,11,10,1,0,Williams
2019,12,1,438,10,Mercedes
2019,12,2,288,0,Ferrari
2019,12,3,244,2,Red Bull
2019,12,4,82,0,McLaren
2019,12,5,43,0,Toro Rosso
2019,12,6,39,0,Renault
2019,12,7,32,0,Alfa Romeo
2019,12,8,31,0,Racing Point
2019,12,9,26,0,Haas F1 Team
2019,12,10,1,0,Williams
2019,13,1,471,10,Mercedes
2019,13,2,326,1,Ferrari
2019,13,3,254,2,Red Bull
2019,13,4,82,0,McLaren
2019,13,5,51,0,Toro Rosso
2019,13,6,43,0,Renault
2019,13,7,40,0,Racing Point
2019,13,8,32,0,Alfa Romeo
2019,13,9,26,0,Haas F1 Team
2019,13,10,1,0,Williams
2019,14,1,505,10,Mercedes
2019,14,2,351,2,Ferrari
2019,14,3,266,2,Red Bull
2019,14,4,83,0,McLaren
2019,14,5,65,0,Renault
2019,14,6,51,0,Toro Rosso
2019,14,7,46,0,Racing Point
2019,14,8,34,0,Alfa Romeo
2019,14,9,26,0,Haas F1 Team
2019,14,10,1,0,Williams
2019,15,1,527,10,Mercedes
2019,15,2,394,3,Ferrari
2019,15,3,289,2,Red Bull
2019,15,4,89,0,McLaren
2019,15,5,67,0,Renault
2019,15,6,55,0,Toro Rosso
2019,15,7,46,0,Racing Point
2019,15,8,35,0,Alfa Romeo
2019,15,9,26,0,Haas F1 Team
2019,15,10,1,0,Williams
2019,16,1,571,11,Mercedes
2019,16,2,409,3,Ferrari
2019,16,3,311,2,Red Bull
2019,16,4,101,0,McLaren
2019,16,5,68,0,Renault
2019,16,6,55,0,Toro Rosso
2019,16,7,52,0,Racing Point
2019,16,8,35,0,Alfa Romeo
2019,16,9,28,0,Haas F1 Team
2019,16,10,1,0,Williams
2019,17,1,612,12,Mercedes
2019,17,2,435,3,Ferrari
2019,17,3,323,2,Red Bull
2019,17,4,111,0,McLaren
2019,17,5,68,0,Renault
2019,17,6,62,0,Toro Rosso
2019,17,7,58,0,Racing Point
2019,17,8,35,0,Alfa Romeo
2019,17,9,28,0,Haas F1 Team
2019,17,10,1,0,Williams
2019,18,1,652,13,Mercedes
2019,18,2,466,3,Ferrari
2019,18,3,341,2,Red Bull
2019,18,4,111,0,McLaren
2019,18,5,73,0,Renault
2019,18,6,64,0,Toro Rosso
2019,18,7,64,0,Racing Point
2019,18,8,35,0,Alfa Romeo
2019,18,9,28,0,Haas F1 Team
2019,18,10,1,0,Williams
2019,19,1,695,14,Mercedes
2019,19,2,479,3,Ferrari
2019,19,3,366,2,Red Bull
2019,19,4,121,0,McLaren
2019,19,5,83,0,Renault
2019,19,6,65,0,Racing Point
2019,19,7,64,0,Toro Rosso
2019,19,8,35,0,Alfa Romeo
2019,19,9,28,0,Haas F1 Team
2019,19,10,1,0,Williams
2019,20,1,701,14,Mercedes
2019,20,2,479,3,Ferrari
2019,20,3,391,3,Red Bull
2019,20,4,140,0,McLaren
2019,20,5,91,0,Renault
2019,20,6,83,0,Toro Rosso
2019,20,7,67,0,Racing Point
2019,20,8,57,0,Alfa Romeo
2019,20,9,28,0,Haas F1 Team
2019,20,10,1,0,Williams
2019,21,1,739,15,Mercedes
2019,21,2,504,3,Ferrari
2019,21,3,417,3,Red Bull
2019,21,4,145,0,McLaren
2019,21,5,91,0,Renault
2019,21,6,85,0,Toro Rosso
2019,21,7,73,0,Racing Point
2019,21,8,57,0,Alfa Romeo
2019,21,9,28,0,Haas F1 Team
2019,21,10,1,0,Williams
2020,1,1,37,1,Mercedes
2020,1,2,26,0,McLaren
2020,1,3,19,0,Ferrari
2020,1,4,8,0,Racing Point
2020,1,5,6,0,AlphaTauri
2020,1,6,4,0,Renault
2020,1,7,2,0,Alfa Romeo
2020,1,8,0,0,Williams
2020,1,9,0,0,Red Bull
2020,1,10,0,0,Haas F1 Team
2020,2,1,80,2,Mercedes
2020,2,2,39,0,McLaren
2020,2,3,27,0,Red Bull
2020,2,4,22,0,Racing Point
2020,2,5,19,0,Ferrari
2020,2,6,8,0,Renault
2020,2,7,7,0,AlphaTauri
2020,2,8,2,0,Alfa Romeo
2020,2,9,0,0,Williams
2020,2,10,0,0,Haas F1 Team
2020,3,1,121,3,Mercedes
2020,3,2,55,0,Red Bull
2020,3,3,41,0,McLaren
2020,3,4,40,0,Racing Point
2020,3,5,27,0,Ferrari
2020,3,6,12,0,Renault
2020,3,7,7,0,AlphaTauri
2020,3,8,2,0,Alfa Romeo
2020,3,9,1,0,Haas F1 Team
2020,3,10,0,0,Williams
2020,4,1,146,4,Mercedes
2020,4,2,78,0,Red Bull
2020,4,3,51,0,McLaren
2020,4,4,43,0,Ferrari
2020,4,5,42,0,Racing Point
2020,4,6,32,0,Renault
2020,4,7,13,0,AlphaTauri
2020,4,8,2,0,Alfa Romeo
2020,4,9,1,0,Haas F1 Team
2020,4,10,0,0,Williams
2020,5,1,180,4,Mercedes
2020,5,2,113,1,Red Bull
2020,5,3,55,0,Ferrari
2020,5,4,53,0,McLaren
2020,5,5,41,0,Racing Point
2020,5,6,36,0,Renault
2020,5,7,14,0,AlphaTauri
2020,5,8,2,0,Alfa Romeo
2020,5,9,1,0,Haas F1 Team
2020,5,10,0,0,Williams
2020,6,1,221,5,Mercedes
2020,6,2,135,1,Red Bull
2020,6,3,63,0,Racing Point
2020,6,4,62,0,McLaren
2020,6,5,61,0,Ferrari
2020,6,6,36,0,Renault
2020,6,7,16,0,AlphaTauri
2020,6,8,2,0,Alfa Romeo
2020,6,9,1,0,Haas F1 Team
2020,6,10,0,0,Williams
2020,7,1,264,6,Mercedes
2020,7,2,158,1,Red Bull
2020,7,3,68,0,McLaren
2020,7,4,66,0,Racing Point
2020,7,5,61,0,Ferrari
2020,7,6,59,0,Renault
2020,7,7,20,0,AlphaTauri
2020,7,8,2,0,Alfa Romeo
2020,7,9,1,0,Haas F1 Team
2020,7,10,0,0,Williams
2020,8,1,281,6,Mercedes
2020,8,2,158,1,Red Bull
2020,8,3,98,0,McLaren
2020,8,4,82,0,Racing Point
2020,8,5,71,0,Renault
2020,8,6,61,0,Ferrari
2020,8,7,47,1,AlphaTauri
2020,8,8,2,0,Alfa Romeo
2020,8,9,1,0,Haas F1 Team
2020,8,10,0,0,Williams
2020,9,1,325,7,Mercedes
2020,9,2,173,1,Red Bull
2020,9,3,106,0,McLaren
2020,9,4,92,0,Racing Point
2020,9,5,83,0,Renault
2020,9,6,66,0,Ferrari
2020,9,7,53,1,AlphaTauri
2020,9,8,4,0,Alfa Romeo
2020,9,9,1,0,Haas F1 Team
2020,9,10,0,0,Williams
2020,10,1,366,8,Mercedes
2020,10,2,192,1,Red Bull
2020,10,3,106,0,McLaren
2020,10,4,104,0,Racing Point
2020,10,5,99,0,Renault
2020,10,6,74,0,Ferrari
2020,10,7,59,1,AlphaTauri
2020,10,8,4,0,Alfa Romeo
2020,10,9,1,0,Haas F1 Team
2020,10,10,0,0,Williams
2020,11,1,391,9,Mercedes
2020,11,2,211,1,Red Bull
2020,11,3,120,0,Racing Point
2020,11,4,116,0,McLaren
2020,11,5,114,0,Renault
2020,11,6,80,0,Ferrari
2020,11,7,67,1,AlphaTauri
2020,11,8,5,0,Alfa Romeo
2020,11,9,3,0,Haas F1 Team
2020,11,10,0,0,Williams
2020,12,1,435,10,Mercedes
2020,12,2,226,1,Red Bull
2020,12,3,126,0,Racing Point
2020,12,4,124,0,McLaren
2020,12,5,120,0,Renault
2020,12,6,93,0,Ferrari
2020,12,7,77,1,AlphaTauri
2020,12,8,5,0,Alfa Romeo
2020,12,9,3,0,Haas F1 Team
2020,12,10,0,0,Williams
2020,13,1,479,11,Mercedes
2020,13,2,226,1,Red Bull
2020,13,3,135,0,Renault
2020,13,4,134,0,McLaren
2020,13,5,134,0,Racing Point
2020,13,6,103,0,Ferrari
2020,13,7,89,1,AlphaTauri
2020,13,8,8,0,Alfa Romeo
2020,13,9,3,0,Haas F1 Team
2020,13,10,0,0,Williams
2020,14,1,504,12,Mercedes
2020,14,2,240,1,Red Bull
2020,14,3,154,0,Racing Point
2020,14,4,149,0,McLaren
2020,14,5,136,0,Renault
2020,14,6,130,0,Ferrari
2020,14,7,89,1,AlphaTauri
2020,14,8,8,0,Alfa Romeo
2020,14,9,3,0,Haas F1 Team
2020,14,10,0,0,Williams
2020,15,1,533,13,Mercedes
2020,15,2,274,1,Red Bull
2020,15,3,171,0,McLaren
2020,15,4,154,0,Racing Point
2020,15,5,144,0,Renault
2020,15,6,131,0,Ferrari
2020,15,7,97,1,AlphaTauri
2020,15,8,8,0,Alfa Romeo
2020,15,9,3,0,Haas F1 Team
2020,15,10,0,0,Williams
2020,16,1,540,13,Mercedes
2020,16,2,282,1,Red Bull
2020,16,3,194,1,Racing Point
2020,16,4,184,0,McLaren
2020,16,5,172,0,Renault
2020,16,6,131,0,Ferrari
2020,16,7,103,1,AlphaTauri
2020,16,8,8,0,Alfa Romeo
2020,16,9,3,0,Haas F1 Team
2020,16,10,0,0,Williams
2020,17,1,573,13,Mercedes
2020,17,2,319,2,Red Bull
2020,17,3,202,0,McLaren
2020,17,4,195,1,Racing Point
2020,17,5,181,0,Renault
2020,17,6,131,0,Ferrari
2020,17,7,107,1,AlphaTauri
2020,17,8,8,0,Alfa Romeo
2020,17,9,3,0,Haas F1 Team
2020,17,10,0,0,Williams
2021,1,1,41,1,Mercedes
2021,1,2,28,0,Red Bull
2021,1,3,18,0,McLaren
2021,1,4,12,0,Ferrari
2021,1,5,2,0,AlphaTauri
2021,1,6,1,0,Aston Martin
2021,1,7,0,0,Alfa Romeo
2021,1,8,0,0,Alpine F1 Team
2021,1,9,0,0,Williams
2021,1,10,0,0,Haas F1 Team
2021,2,1,60,1,Mercedes
2021,2,2,53,1,Red Bull
2021,2,3,41,0,McLaren
2021,2,4,34,0,Ferrari
2021,2,5,8,0,AlphaTauri
2021,2,6,5,0,Aston Martin
2021,2,7,3,0,Alpine F1 Team
2021,2,8,0,0,Alfa Romeo
2021,2,9,0,0,Williams
2021,2,10,0,0,Haas F1 Team
2021,3,1,101,2,Mercedes
2021,3,2,83,1,Red Bull
2021,3,3,53,0,McLaren
2021,3,4,42,0,Ferrari
2021,3,5,13,0,Alpine F1 Team
2021,3,6,9,0,AlphaTauri
2021,3,7,5,0,Aston Martin
2021,3,8,0,0,Alfa Romeo
2021,3,9,0,0,Williams
2021,3,10,0,0,Haas F1 Team
2021,4,1,141,3,Mercedes
2021,4,2,112,1,Red Bull
2021,4,3,65,0,McLaren
2021,4,4,60,0,Ferrari
2021,4,5,15,0,Alpine F1 Team
2021,4,6,10,0,AlphaTauri
2021,4,7,5,0,Aston Martin
2021,4,8,0,0,Alfa Romeo
2021,4,9,0,0,Williams
2021,4,10,0,0,Haas F1 Team
2021,5,1,149,2,Red Bull
2021,5,2,148,3,Mercedes
2021,5,3,80,0,McLaren
2021,5,4,78,0,Ferrari
2021,5,5,19,0,Aston Martin
2021,5,6,18,0,AlphaTauri
2021,5,7,17,0,Alpine F1 Team
2021,5,8,1,0,Alfa Romeo
2021,5,9,0,0,Williams
2021,5,10,0,0,Haas F1 Team
2021,6,1,174,3,Red Bull
2021,6,2,148,3,Mercedes
2021,6,3,94,0,Ferrari
2021,6,4,92,0,McLaren
2021,6,5,39,0,AlphaTauri
2021,6,6,37,0,Aston Martin
2021,6,7,25,0,Alpine F1 Team
2021,6,8,2,0,Alfa Romeo
2021,6,9,0,0,Haas F1 Team
2021,6,10,0,0,Williams
2021,7,1,215,4,Red Bull
2021,7,2,178,3,Mercedes
2021,7,3,110,0,McLaren
2021,7,4,94,0,Ferrari
2021,7,5,45,0,AlphaTauri
2021,7,6,40,0,Aston Martin
2021,7,7,29,0,Alpine F1 Team
2021,7,8,2,0,Alfa Romeo
2021,7,9,0,0,Williams
2021,7,10,0,0,Haas F1 Team
2021,8,1,252,5,Red Bull
2021,8,2,212,3,Mercedes
2021,8,3,120,0,McLaren
2021,8,4,108,0,Ferrari
2021,8,5,46,0,AlphaTauri
2021,8,6,44,0,Aston Martin
2021,8,7,31,0,Alpine F1 Team
2021,8,8,2,0,Alfa Romeo
2021,8,9,0,0,Williams
2021,8,10,0,0,Haas F1 Team
2021,9,1,286,6,Red Bull
2021,9,2,242,3,Mercedes
2021,9,3,141,0,McLaren
2021,9,4,122,0,Ferrari
2021,9,5,48,0,AlphaTauri
2021,9,6,44,0,Aston Martin
2021,9,7,32,0,Alpine F1 Team
2021,9,8,2,0,Alfa Romeo
2021,9,9,0,0,Williams
2021,9,10,0,0,Haas F1 Team
2021,10,1,289,6,Red Bull
2021,10,2,285,4,Mercedes
2021,10,3,163,0,McLaren
2021,10,4,148,0,Ferrari
2021,10,5,49,0,AlphaTauri
2021,10,6,48,0,Aston Martin
2021,10,7,40,0,Alpine F1 Team
2021,10,8,2,0,Alfa Romeo
2021,10,9,0,0,Williams
2021,10,10,0,0,Haas F1 Team
2021,11,1,303,4,Mercedes
2021,11,2,291,6,Red Bull
2021,11,3,163,0,Ferrari
2021,11,4,163,0,McLaren
2021,11,5,77,1,Alpine F1 Team
2021,11,6,68,0,AlphaTauri
2021,11,7,48,0,Aston Martin
2021,11,8,10,0,Williams
2021,11,9,3,0,Alfa Romeo
2021,11,10,0,0,Haas F1 Team
2021,12,1,310.5,4,Mercedes
2021,12,2,303.5,7,Red Bull
2021,12,3,169,0,McLaren
2021,12,4,165.5,0,Ferrari
2021,12,5,80,1,Alpine F1 Team
2021,12,6,72,0,AlphaTauri
2021,12,7,53,0,Aston Martin
2021,12,8,20,0,Williams
2021,12,9,3,0,Alfa Romeo
2021,12,10,0,0,Haas F1 Team
2021,13,1,344.5,4,Mercedes
2021,13,2,332.5,8,Red Bull
2021,13,3,181.5,0,Ferrari
2021,13,4,170,0,McLaren
2021,13,5,90,1,Alpine F1 Team
2021,13,6,84,0,AlphaTauri
2021,13,7,53,0,Aston Martin
2021,13,8,20,0,Williams
2021,13,9,3,0,Alfa Romeo
2021,13,10,0,0,Haas F1 Team
2021,14,1,362.5,4,Mercedes
2021,14,2,344.5,8,Red Bull
2021,14,3,215,1,McLaren
2021,14,4,201.5,0,Ferrari
2021,14,5,95,1,Alpine F1 Team
2021,14,6,84,0,AlphaTauri
2021,14,7,59,0,Aston Martin
2021,14,8,22,0,Williams
2021,14,9,3,0,Alfa Romeo
2021,14,10,0,0,Haas F1 Team
2021,15,1,397.5,5,Mercedes
2021,15,2,364.5,8,Red Bull
2021,15,3,234,1,McLaren
2021,15,4,216.5,0,Ferrari
2021,15,5,103,1,Alpine F1 Team
2021,15,6,84,0,AlphaTauri
2021,15,7,59,0,Aston Martin
2021,15,8,23,0,Williams
2021,15,9,7,0,Alfa Romeo
2021,15,10,0,0,Haas F1 Team
2021,16,1,433.5,6,Mercedes
2021,16,2,397.5,8,Red Bull
2021,16,3,240,1,McLaren
2021,16,4,232.5,0,Ferrari
2021,16,5,104,1,Alpine F1 Team
2021,16,6,92,0,AlphaTauri
2021,16,7,61,0,Aston Martin
2021,16,8,23,0,Williams
2021,16,9,7,0,Alfa Romeo
2021,16,10,0,0,Haas F1 Team
2021,17,1,460.5,6,Mercedes
2021,17,2,437.5,9,Red Bull
2021,17,3,254,1,McLaren
2021,17,4,250.5,0,Ferrari
2021,17,5,104,1,Alpine F1 Team
2021,17,6,94,0,AlphaTauri
2021,17,7,62,0,Aston Martin
2021,17,8,23,0,Williams
2021,17,9,7,0,Alfa Romeo
2021,17,10,0,0,Haas F1 Team
2021,18,1,478.5,6,Mercedes
2021,18,2,477.5,10,Red Bull
2021,18,3,268.5,0,Ferrari
2021,18,4,255,1,McLaren
2021,18,5,106,1,Alpine F1 Team
2021,18,6,106,0,AlphaTauri
2021,18,7,68,0,Aston Martin
2021,18,8,23,0,Williams
2021,18,9,11,0,Alfa Romeo
2021,18,10,0,0,Haas F1 Team
2021,19,1,521.5,7,Mercedes
2021,19,2,510.5,10,Red Bull
2021,19,3,287.5,0,Ferrari
2021,19,4,256,1,McLaren
2021,19,5,112,1,Alpine F1 Team
2021,19,6,112,0,AlphaTauri
2021,19,7,68,0,Aston Martin
2021,19,8,23,0,Williams
2021,19,9,11,0,Alfa Romeo
2021,19,10,0,0,Haas F1 Team
2021,20,1,546.5,8,Mercedes
2021,20,2,541.5,10,Red Bull
2021,20,3,297.5,0,Ferrari
2021,20,4,258,1,McLaren
2021,20,5,137,1,Alpine F1 Team
2021,20,6,112,0,AlphaTauri
2021,20,7,77,0,Aston Martin
2021,20,8,23,0,Williams
2021,20,9,11,0,Alfa Romeo
2021,20,10,0,0,Haas F1 Team
2021,21,1,587.5,9,Mercedes
2021,21,2,559.5,10,Red Bull
2021,21,3,307.5,0,Ferrari
2021,21,4,269,1,McLaren
2021,21,5,149,1,Alpine F1 Team
2021,21,6,120,0,AlphaTauri
2021,21,7,77,0,Aston Martin
2021,21,8,23,0,Williams
2021,21,9,13,0,Alfa Romeo
2021,21,10,0,0,Haas F1 Team
2021,22,1,613.5,9,Mercedes
2021,22,2,585.5,11,Red Bull
2021,22,3,323.5,0,Ferrari
2021,22,4,275,1,McLaren
2021,22,5,155,1,Alpine F1 Team
2021,22,6,142,0,AlphaTauri
2021,22,7,77,0,Aston Martin
2021,22,8,23,0,Williams
2021,22,9,13,0,Alfa Romeo
2021,22,10,0,0,Haas F1 Team
2022,1,1,44,1,Ferrari
2022,1,2,27,0,Mercedes
2022,1,3,10,0,Haas F1 Team
2022,1,4,9,0,Alfa Romeo
2022,1,5,8,0,Alpine F1 Team
2022,1,6,4,0,AlphaTauri
2022,1,7,0,0,Aston Martin
2022,1,8,0,0,Williams
2022,1,9,0,0,McLaren
2022,1,10,0,0,Red Bull
2022,2,1,78,1,Ferrari
2022,2,2,38,0,Mercedes
2022,2,3,37,1,Red Bull
2022,2,4,16,0,Alpine F1 Team
2022,2,5,12,0,Haas F1 Team
2022,2,6,9,0,Alfa Romeo
2022,2,7,8,0,AlphaTauri
2022,2,8,6,0,McLaren
2022,2,9,0,0,Aston Martin
2022,2,10,0,0,Williams
2022,3,1,104,2,Ferrari
2022,3,2,65,0,Mercedes
2022,3,3,55,1,Red Bull
2022,3,4,24,0,McLaren
2022,3,5,22,0,Alpine F1 Team
2022,3,6,13,0,Alfa Romeo
2022,3,7,12,0,Haas F1 Team
2022,3,8,10,0,AlphaTauri
2022,3,9,1,0,Williams
2022,3,10,0,0,Aston Martin
2022,4,1,124,2,Ferrari
2022,4,2,113,2,Red Bull
2022,4,3,77,0,Mercedes
2022,4,4,46,0,McLaren
2022,4,5,25,0,Alfa Romeo
2022,4,6,22,0,Alpine F1 Team
2022,4,7,16,0,AlphaTauri
2022,4,8,15,0,Haas F1 Team
2022,4,9,5,0,Aston Martin
2022,4,10,1,0,Williams
2022,5,1,157,2,Ferrari
2022,5,2,151,3,Red Bull
2022,5,3,95,0,Mercedes
2022,5,4,46,0,McLaren
2022,5,5,31,0,Alfa Romeo
2022,5,6,26,0,Alpine F1 Team
2022,5,7,16,0,AlphaTauri
2022,5,8,15,0,Haas F1 Team
2022,5,9,6,0,Aston Martin
2022,5,10,3,0,Williams
2022,6,1,195,4,Red Bull
2022,6,2,169,2,Ferrari
2022,6,3,120,0,Mercedes
2022,6,4,50,0,McLaren
2022,6,5,39,0,Alfa Romeo
2022,6,6,34,0,Alpine F1 Team
2022,6,7,17,0,AlphaTauri
2022,6,8,15,0,Haas F1 Team
2022,6,9,6,0,Aston Martin
2022,6,10,3,0,Williams
2022,7,1,235,5,Red Bull
2022,7,2,199,2,Ferrari
2022,7,3,134,0,Mercedes
2022,7,4,59,0,McLaren
2022,7,5,41,0,Alfa Romeo
2022,7,6,40,0,Alpine F1 Team
2022,7,7,17,0,AlphaTauri
2022,7,8,15,0,Haas F1 Team
2022,7,9,7,0,Aston Martin
2022,7,10,3,0,Williams
2022,8,1,279,6,Red Bull
2022,8,2,199,2,Ferrari
2022,8,3,161,0,Mercedes
2022,8,4,65,0,McLaren
2022,8,5,47,0,Alpine F1 Team
2022,8,6,41,0,Alfa Romeo
2022,8,7,27,0,AlphaTauri
2022,8,8,15,0,Haas F1 Team
2022,8,9,15,0,Aston Martin
2022,8,10,3,0,Williams
2022,9,1,304,7,Red Bull
2022,9,2,228,2,Ferrari
2022,9,3,188,0,Mercedes
2022,9,4,65,0,McLaren
2022,9,5,57,0,Alpine F1 Team
2022,9,6,51,0,Alfa Romeo
2022,9,7,27,0,AlphaTauri
2022,9,8,16,0,Aston Martin
2022,9,9,15,0,Haas F1 Team
2022,9,10,3,0,Williams
2022,10,1,328,7,Red Bull
2022,10,2,265,3,Ferrari
2022,10,3,204,0,Mercedes
2022,10,4,73,0,McLaren
2022,10,5,67,0,Alpine F1 Team
2022,10,6,51,0,Alfa Romeo
2022,10,7,27,0,AlphaTauri
2022,10,8,20,0,Haas F1 Team
2022,10,9,18,0,Aston Martin
2022,10,10,3,0,Williams
2022,11,1,359,7,Red Bull
2022,11,2,303,4,Ferrari
2022,11,3,237,0,Mercedes
2022,11,4,81,0,McLaren
2022,11,5,81,0,Alpine F1 Team
2022,11,6,51,0,Alfa Romeo
2022,11,7,34,0,Haas F1 Team
2022,11,8,27,0,AlphaTauri
2022,11,9,18,0,Aston Martin
2022,11,10,3,0,Williams
2022,12,1,396,8,Red Bull
2022,12,2,314,4,Ferrari
2022,12,3,270,0,Mercedes
2022,12,4,93,0,Alpine F1 Team
2022,12,5,89,0,McLaren
2022,12,6,51,0,Alfa Romeo
2022,12,7,34,0,Haas F1 Team
2022,12,8,27,0,AlphaTauri
2022,12,9,19,0,Aston Martin
2022,12,10,3,0,Williams
2022,13,1,431,9,Red Bull
2022,13,2,334,4,Ferrari
2022,13,3,304,0,Mercedes
2022,13,4,99,0,Alpine F1 Team
2022,13,5,95,0,McLaren
2022,13,6,51,0,Alfa Romeo
2022,13,7,34,0,Haas F1 Team
2022,13,8,27,0,AlphaTauri
2022,13,9,20,0,Aston Martin
2022,13,10,3,0,Williams
2022,14,1,475,10,Red Bull
2022,14,2,357,4,Ferrari
2022,14,3,316,0,Mercedes
2022,14,4,115,0,Alpine F1 Team
2022,14,5,95,0,McLaren
2022,14,6,51,0,Alfa Romeo
2022,14,7,34,0,Haas F1 Team
2022,14,8,29,0,AlphaTauri
2022,14,9,24,0,Aston Martin
2022,14,10,4,0,Williams
2022,15,1,511,11,Red Bull
2022,15,2,376,4,Ferrari
2022,15,3,346,0,Mercedes
2022,15,4,125,0,Alpine F1 Team
2022,15,5,101,0,McLaren
2022,15,6,51,0,Alfa Romeo
2022,15,7,34,0,Haas F1 Team
2022,15,8,29,0,AlphaTauri
2022,15,9,25,0,Aston Martin
2022,15,10,4,0,Williams
2022,16,1,545,12,Red Bull
2022,16,2,406,4,Ferrari
2022,16,3,371,0,Mercedes
2022,16,4,125,0,Alpine F1 Team
2022,16,5,107,0,McLaren
2022,16,6,52,0,Alfa Romeo
2022,16,7,34,0,Haas F1 Team
2022,16,8,33,0,AlphaTauri
2022,16,9,25,0,Aston Martin
2022,16,10,6,0,Williams
2022,17,1,576,13,Red Bull
2022,17,2,439,4,Ferrari
2022,17,3,373,0,Mercedes
2022,17,4,129,0,McLaren
2022,17,5,125,0,Alpine F1 Team
2022,17,6,52,0,Alfa Romeo
2022,17,7,37,0,Aston Martin
2022,17,8,34,0,Haas F1 Team
2022,17,9,34,0,AlphaTauri
2022,17,10,6,0,Williams
2022,18,1,619,14,Red Bull
2022,18,2,454,4,Ferrari
2022,18,3,387,0,Mercedes
2022,18,4,143,0,Alpine F1 Team
2022,18,5,130,0,McLaren
2022,18,6,52,0,Alfa Romeo
2022,18,7,45,0,Aston Martin
2022,18,8,34,0,Haas F1 Team
2022,18,9,34,0,AlphaTauri
2022,18,10,8,0,Williams
2022,19,1,656,15,Red Bull
2022,19,2,469,4,Ferrari
2022,19,3,416,0,Mercedes
2022,19,4,149,0,Alpine F1 Team
2022,19,5,138,0,McLaren
2022,19,6,52,0,Alfa Romeo
2022,19,7,49,0,Aston Martin
2022,19,8,36,0,Haas F1 Team
2022,19,9,35,0,AlphaTauri
2022,19,10,8,0,Williams
2022,20,1,696,16,Red Bull
2022,20,2,487,4,Ferrari
2022,20,3,447,0,Mercedes
2022,20,4,153,0,Alpine F1 Team
2022,20,5,146,0,McLaren
2022,20,6,53,0,Alfa Romeo
2022,20,7,49,0,Aston Martin
2022,20,8,36,0,Haas F1 Team
2022,20,9,35,0,AlphaTauri
2022,20,10,8,0,Williams
2022,21,1,719,16,Red Bull
2022,21,2,524,4,Ferrari
2022,21,3,505,1,Mercedes
2022,21,4,167,0,Alpine F1 Team
2022,21,5,148,0,McLaren
2022,21,6,55,0,Alfa Romeo
2022,21,7,50,0,Aston Martin
2022,21,8,37,0,Haas F1 Team
2022,21,9,35,0,AlphaTauri
2022,21,10,8,0,Williams
2022,22,1,759,17,Red Bull
2022,22,2,554,4,Ferrari
2022,22,3,515,1,Mercedes
2022,22,4,173,0,Alpine F1 Team
2022,22,5,159,0,McLaren
2022,22,6,55,0,Alfa Romeo
2022,22,7,55,0,Aston Martin
2022,22,8,37,0,Haas F1 Team
2022,22,9,35,0,AlphaTauri
2022,22,10,8,0,Williams
